sub,Age,Genre,Langue[1],Langue[2],Langue[3],lateralite[1],lateralite[2],lateralite[3],niveauetudes[1],niveauetudes[2],niveauetudes[3],niveauetudes[4],UPPS[1],UPPS[2],UPPS[3],UPPS[4],UPPS[5],UPPS[6],UPPS[7],UPPS[8],UPPS[9],UPPS[10],UPPS[11],UPPS[12],UPPS[13],UPPS[14],UPPS[15],UPPS[16],UPPS[17],UPPS[18],UPPS[19],UPPS[20],UPPS[21],UPPS[22],UPPS[23],UPPS[24],UPPS[25],UPPS[26],UPPS[27],UPPS[28],UPPS[29],UPPS[30],UPPS[31],UPPS[32],UPPS[33],UPPS[34],UPPS[35],UPPS[36],UPPS[37],UPPS[38],UPPS[39],UPPS[40],UPPS[41],UPPS[42],UPPS[43],UPPS[44],UPPS[45],QABB[1],QABB[2],QABB[3],QABB[4],QABB[5],QABB[6],QABB[7],QABB[8],QABB[9],QABB[10],QABB[11],QABB[12],QABB[13],QABB[14],QABB[15],QABB[16],QABB[17],QABB[18],QABB[19],PMPUQSV[1],PMPUQSV[2],PMPUQSV[3],PMPUQSV[4],PMPUQSV[5],PMPUQSV[6],PMPUQSV[7],PMPUQSV[8],PMPUQSV[9],PMPUQSV[10],PMPUQSV[11],PMPUQSV[12],PMPUQSV[13],PMPUQSV[14],PMPUQSV[15],PCLS[1],PCLS[2],PCLS[3],PCLS[4],PCLS[5],PCLS[6],PCLS[7],PCLS[8],PCLS[9],PCLS[10],PCLS[11],PCLS[12],PCLS[13],PCLS[14],PCLS[15],PCLS[16],PCLS[17],OCIR[1],OCIR[2],OCIR[3],OCIR[4],OCIR[5],OCIR[6],OCIR[7],OCIR[8],OCIR[9],OCIR[10],OCIR[11],OCIR[12],OCIR[13],OCIR[14],OCIR[15],OCIR[16],OCIR[17],OCIR[18],IAT[1],IAT[2],IAT[3],IAT[4],IAT[5],IAT[6],IAT[7],IAT[8],IAT[9],IAT[10],IAT[11],IAT[12],IAT[13],IAT[14],IAT[15],IAT[16],IAT[17],IAT[18],IAT[19],IAT[20],EAT26[1],EAT26[2],EAT26[3],EAT26[4],EAT26[5],EAT26[6],EAT26[7],EAT26[8],EAT26[9],EAT26[10],EAT26[11],EAT26[12],EAT26[13],EAT26[14],EAT26[15],EAT26[16],EAT26[17],EAT26[18],EAT26[19],EAT26[20],EAT26[21],EAT26[22],EAT26[23],EAT26[24],EAT26[25],EAT26[26],COHS[1],COHS[2],COHS[3],COHS[4],COHS[5],COHS[6],COHS[7],COHS[8],COHS[9],COHS[10],COHS[11],COHS[12],COHS[13],COHS[14],COHS[15],COHS[16],COHS[17],COHS[18],COHS[19],COHS[20],COHS[21],COHS[22],COHS[23],COHS[24],COHS[25],COHS[26],COHS[27],STAIT[1],STAIT[2],STAIT[3],STAIT[4],STAIT[5],STAIT[6],STAIT[7],STAIT[8],STAIT[9],STAIT[10],STAIT[11],STAIT[12],STAIT[13],STAIT[14],STAIT[15],STAIT[16],STAIT[17],STAIT[18],STAIT[19],STAIT[20],STAIS[1],STAIS[2],STAIS[3],STAIS[4],STAIS[5],STAIS[6],STAIS[7],STAIS[8],STAIS[9],STAIS[10],STAIS[11],STAIS[12],STAIS[13],STAIS[14],STAIS[15],STAIS[16],STAIS[17],STAIS[18],STAIS[19],STAIS[20],PSS[1],PSS[2],PSS[3],PSS[4],PSS[5],PSS[6],PSS[7],PSS[8],PSS[9],PSS[10],CESD[1],CESD[2],CESD[3],CESD[4],CESD[5],CESD[6],CESD[7],CESD[8],CESD[9],CESD[10],CESD[11],CESD[12],CESD[13],CESD[14],CESD[15],CESD[16],CESD[17],CESD[18],CESD[19],CESD[20],UPPS_urgency,UPPS_premeditation,UPPS_perseverance,UPPS_sensation,QABB_total,PMPUQSV_total,PMPUQSV_dangerous,PMPUQSV_prohibited,PMPUQSV_dependant,PCLS_total,PCLS_intrusion,PCLS_evitement,PCLS_hyperstimulation,EAT26_total,EAT26_dieting,EAT26_bulimia,EAT26_oral_control,IAT_total,IAT_salience,IAT_excessive_use,IAT_neglect_work,IAT_anticipation,IAT_lack_control,IAT_neglect_social_life,OCIR_total,OCIR_Washing,OCIR_obsessing,OCIR_hoarding,OCIR_ordering,OCIR_checking,OCIR_neutralising,STAIT_total,STAIS_total,PSS_total,COHS_routine,COHS_automaticity,CESD_total
1,29,F,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,4,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,1,3,1,3,3,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,2,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,3,2,1,0,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4,4,3,4,2,3,4,2,2,3,1,3,2,2,4,4,3,3,2,4,2,4,1,4,1,4,4,2,3,3,3,2,3,2,1,1,2,3,2,2,3,1,2,2,1,3,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,1,2,2,4,3,4,3,3,3,2,3,3,2,1,0,0,1,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,1,15,19,15,15,2,1.666666667,1,1.6,2.4,19,6,7,6,3,2,0,1,25,6,9,3,2,4,1,8,0,3,1,2,2,0,43,34,30,55,24,9
2,21,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,1,1,1,1,2,1,3,1,4,3,3,1,1,3,3,2,2,3,1,4,4,2,2,1,1,2,2,1,4,2,1,1,1,2,1,1,3,1,2,1,1,4,2,3,3,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,2,2,1,3,2,2,1,3,1,1,1,1,2,4,3,4,3,2,4,2,3,3,3,2,2,3,1,3,2,2,0,3,2,0,0,1,1,1,2,0,1,1,2,2,1,0,1,1,3,2,1,1,0,1,1,2,1,3,1,2,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,1,0,5,4,3,4,2,4,5,2,4,2,1,4,3,4,2,4,4,1,3,5,4,4,3,4,2,4,5,2,3,3,4,3,4,2,3,3,3,2,4,3,3,3,2,3,3,3,3,1,2,3,4,3,3,4,3,1,2,2,2,1,3,3,3,4,3,3,3,5,5,5,2,4,4,2,4,4,4,2,2,2,2,2,2,2,1,1,1,3,2,2,2,1,2,1,2,0,2,21,19,18,31,6,1.666666667,1.2,1.8,2,46,16,19,11,10,4,2,4,23,5,7,4,2,3,2,19,2,3,3,5,6,0,59,53,39,60,32,34
3,19,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,2,1,3,1,2,3,4,1,2,1,3,2,2,1,4,2,2,1,3,4,4,2,1,3,3,1,2,1,1,4,2,4,4,2,1,1,4,1,2,2,3,4,4,4,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,NA,1,3,3,1,3,2,NA,NA,2,NA,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,3,4,1,3,0,3,2,2,1,1,0,0,4,0,0,0,2,1,3,0,0,0,4,2,0,0,1,3,1,1,1,0,0,0,1,1,0,2,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,2,3,5,3,2,5,4,2,4,4,5,3,1,3,2,4,5,1,5,3,5,1,2,2,1,3,2,3,3,2,2,3,3,1,3,2,1,2,3,4,1,3,2,4,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,3,3,2,1,3,2,1,0,0,0,1,3,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,26,20,20,41,5,1.818181818,1,2,2.25,28,5,10,13,7,2,2,3,18,1,8,5,1,3,0,19,1,1,2,9,4,2,49,25,20,58,26,13
4,22,F,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,2,1,3,4,4,3,1,3,4,3,1,4,4,1,4,4,4,1,3,4,4,4,4,3,3,4,4,1,1,4,2,1,1,2,4,1,1,4,4,4,1,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,1,3,NA,3,3,1,1,3,NA,1,2,NA,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,4,1,1,1,1,0,0,0,1,1,0,1,0,1,1,2,0,1,1,0,1,4,2,1,1,1,2,4,3,1,1,2,2,1,1,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,2,4,2,5,2,4,4,4,3,5,4,4,2,1,2,4,4,2,1,2,2,5,4,1,2,2,2,1,2,2,2,1,1,1,2,1,3,1,1,1,1,2,2,3,1,2,4,3,3,3,4,1,3,4,3,1,3,2,4,3,4,3,3,3,5,4,4,4,5,1,4,3,5,1,0,2,3,3,2,3,2,1,2,1,2,2,3,0,3,0,3,1,3,23,40,37,27,0,2,1,1.4,2.8,25,5,12,8,0,0,0,0,36,6,9,6,6,7,2,12,1,3,4,2,1,1,31,57,38,52,35,37
5,21,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,1,3,1,2,1,3,1,3,2,1,1,2,2,3,3,2,1,3,1,4,1,2,1,3,1,4,1,4,1,4,1,3,1,4,1,1,1,4,2,1,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,2,4,NA,4,4,3,1,4,NA,1,4,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,4,3,1,4,0,2,2,4,1,3,0,2,1,4,4,1,1,3,2,4,4,1,4,2,3,2,4,1,3,3,1,1,2,2,0,1,0,3,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5,5,2,4,2,5,5,4,2,4,2,5,5,5,5,3,5,4,2,5,2,1,5,4,4,2,5,2,3,3,3,4,4,3,4,4,2,2,4,4,4,4,3,2,4,3,3,2,2,2,3,2,1,2,2,1,1,2,2,1,3,2,2,2,2,2,2,3,3,4,3,2,4,2,3,4,4,0,0,0,2,1,0,1,2,1,0,0,1,0,0,1,1,0,0,0,1,32,14,31,14,0,3.090909091,3,2.2,4,17,5,7,5,10,3,1,4,50,11,15,7,6,9,2,36,6,7,8,10,4,1,65,38,32,72,30,11
6,20,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,2,1,3,1,2,1,3,1,4,1,3,1,4,1,4,4,4,1,1,4,4,1,4,1,1,2,2,1,4,1,1,3,4,4,2,1,3,1,2,4,1,4,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,2,1,2,2,1,1,3,4,2,2,4,3,2,4,2,0,1,0,0,2,1,3,0,3,0,3,1,4,0,0,0,2,1,4,1,0,0,0,1,0,1,0,2,0,0,1,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,1,3,1,3,2,2,5,3,1,1,1,2,1,3,2,1,3,5,1,5,2,1,1,5,1,1,3,1,2,1,1,1,3,4,2,2,1,2,1,2,2,2,2,2,2,2,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,3,3,2,3,3,1,2,3,2,0,2,0,1,0,1,0,2,0,0,1,1,1,0,0,1,1,1,0,0,17,31,20,37,2,1.066666667,1,1.2,1,40,10,15,15,8,3,2,3,14,3,6,2,0,3,0,21,7,3,7,3,1,0,39,24,24,45,15,12
7,19,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,1,3,4,1,1,4,4,4,1,4,4,1,1,4,4,1,1,4,4,1,1,1,1,4,4,1,1,4,3,1,1,4,4,1,1,3,1,4,1,1,4,4,2,4,4,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,NA,NA,NA,4,NA,1,NA,NA,NA,4,NA,1,4,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,0,4,4,4,4,4,0,4,4,4,4,4,2,4,0,5,5,1,4,4,1,1,3,1,1,2,5,4,4,1,2,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,3,1,3,3,0,0,0,3,2,3,0,0,3,0,5,5,1,5,5,5,5,1,5,5,2,5,5,5,3,5,5,5,1,5,3,5,3,5,2,5,5,1,4,3,4,2,3,3,4,4,3,2,4,1,3,1,1,4,4,1,4,1,1,1,1,2,1,1,4,1,4,4,1,1,4,4,2,4,4,2,4,5,5,5,5,5,3,5,5,5,5,3,3,3,0,3,3,3,0,3,3,3,2,1,3,0,3,3,3,3,3,44,11,16,41,11,2.5,NA,1,4,85,25,35,25,30,16,2,9,44,11,14,5,3,6,5,58,12,8,12,12,12,2,56,47,48,78,33,48
8,33,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,4,1,3,2,4,3,1,1,2,1,3,2,4,1,4,2,4,1,3,4,3,2,4,1,3,2,4,1,1,4,4,3,4,2,2,1,4,3,4,2,1,4,2,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,1,2,4,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,3,2,1,1,2,2,1,2,2,2,2,2,2,1,2,0,2,1,2,0,2,0,0,2,0,0,1,2,2,1,3,2,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,4,1,2,2,3,4,4,2,2,2,4,3,2,2,1,4,4,1,2,2,2,4,3,2,1,2,1,2,3,2,2,2,1,1,1,1,2,3,2,2,2,2,2,3,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,3,2,2,2,2,2,2,3,1,1,2,1,2,1,0,0,2,1,0,2,1,2,0,0,1,0,1,1,1,19,38,24,36,3,1.866666667,2.6,1.2,1.8,31,9,12,10,9,5,1,2,10,1,6,1,1,1,0,20,4,4,4,5,1,2,37,25,21,47,22,19
9,20,F,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,2,2,1,1,4,4,2,1,1,3,1,1,1,1,2,1,1,1,2,1,1,1,4,1,1,1,3,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,1,NA,NA,2,2,4,1,3,NA,1,1,NA,2,3,1,1,3,1,5,5,5,5,5,5,5,3,2,5,2,5,0,2,3,0,4,4,0,0,1,0,4,4,2,1,0,0,4,4,4,1,0,1,1,1,2,1,1,5,1,1,1,0,2,2,0,0,3,0,1,2,3,0,0,2,1,0,0,0,2,0,3,0,1,0,3,0,0,2,0,0,0,0,3,0,3,5,1,5,1,5,2,1,1,4,1,5,5,3,3,1,5,5,1,5,4,2,1,5,1,5,5,3,4,4,4,2,4,1,1,2,3,3,3,4,4,3,3,3,1,1,4,4,4,4,3,4,3,4,4,2,4,4,3,1,2,4,4,4,2,3,3,2,3,5,5,3,1,2,3,3,3,1,0,1,3,3,2,3,3,0,1,3,2,1,3,1,3,0,3,3,3,12,12,24,22,1,1.9,4,1.4,2,61,9,35,17,23,12,3,7,27,12,5,3,3,3,1,33,12,12,2,4,3,0,57,66,30,67,18,39
10,21,F,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,1,1,3,1,1,3,4,1,2,3,4,2,4,1,3,1,1,1,1,1,1,1,2,3,3,1,2,4,1,1,1,3,3,2,1,4,1,1,2,2,4,1,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,2,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,4,4,4,2,5,4,4,3,2,1,2,2,2,3,4,4,5,2,5,1,4,5,4,2,5,4,1,1,2,1,2,3,2,2,3,2,1,2,1,2,1,1,1,4,2,2,1,1,1,1,2,2,1,2,1,2,2,1,1,2,1,1,2,1,1,2,3,4,4,1,2,1,3,2,4,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,32,19,12,28,2,1.333333333,1.4,1.6,1,18,5,7,6,6,4,0,1,11,1,6,0,1,1,2,5,0,0,3,2,0,0,36,28,25,56,33,4
